Country,Official language
Philippines,Filipino
Philippines,English
Poland,Polish
Portugal,Portuguese
Qatar,Arabic
Romania,Romanian
Russia,Russian
Rwanda,English
Rwanda,French
Rwanda,Kinyarwanda
Rwanda,Swahili
Saint Kitts and Nevis,English
Saint Lucia,English
Saint Vincent and the Grenadines,English
Samoa,English
San Marino,Italian
Sao Tome and Principe,Portuguese
Saudi Arabia,Arabic
Senegal,French
Serbia,Serbian
Seychelles,English
Seychelles,French
Seychelles,Seychellois Creole
Sierra Leone,English
Singapore,English
Singapore,Malay
Singapore,Mandarin Chinese
Singapore,Tamil
Slovakia,Slovak
Slovenia,Slovene
Solomon Islands,English
Somalia,Arabic
South Africa,Afrikaans
South Africa,English
South Africa,Southern Ndebele
South Africa,Sotho
South Africa,Northern Sotho
South Africa,Swazi
South Africa,Tsonga
South Africa,Tswana
South Africa,Venda
South Africa,Xhosa
South Africa,Zulu
South Sudan,English
Spain,Spanish
Sri Lanka,Sinhala
Sri Lanka,Tamil
Sudan,Arabic
Sudan,English
Suriname,Dutch
Sweden,Swedish
Switzerland,French
Switzerland,German
Switzerland,Italian
Switzerland,Romansh
Syria,Arabic
Tajikistan,Tajik
Tanzania,English
Thailand,Thai
Togo,French
Tonga,English
Tonga,Tongan
Trinidad and Tobago,English
Tunisia,Arabic
Turkey,Turkish
Turkmenistan,Turkmen
Tuvalu,Tuvaluan
Tuvalu,English
Uganda,English
Uganda,Swahili
Ukraine,Ukrainian
United Arab Emirates,Arabic
United Kingdom,English
United States,English
Uruguay,Spanish
Uzbekistan,Uzbek
Vanuatu,English
Vanuatu,French
Venezuela,Spanish
Vietnam,Vietnamese
Yemen,Arabic
Zambia,English
Zimbabwe,Chewa
Zimbabwe,Chibarwe
Zimbabwe,English
Zimbabwe,Kalanga
Zimbabwe,Khoisan
Zimbabwe,Nambya
Zimbabwe,Ndau
Zimbabwe,Ndebele
Zimbabwe,Shangani
Zimbabwe,Shona
Zimbabwe,Sotho
Zimbabwe,Tonga
Zimbabwe,Tswana
Zimbabwe,Venda
Zimbabwe,Xhosa
